model_name,strata,variable,year,pred,pred_lci,pred_uci,obs,obs_cv,obs_lci,obs_uci
M22_2024,SBS,biomass_pred,2020,55.39110128978063,10.215037839339725,300.358564534995,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,2021,76.56520575224344,16.750350608501904,349.97659863357757,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,2022,105.83343886258719,37.33270955753912,300.02421239256296,127.165045,0.5974894164574852,43.0593055273406,375.55061494394647
M22_2024,SBS,biomass_pred,2023,105.83343886258719,17.923881727630416,624.9046357081572,NA,NA,NA,NA
M22_2024,SBS,biomass_pred,2024,105.83343886258719,10.772348245925816,1039.7655669660678,NA,NA,NA,NA
M22_2022,AI,biomass_pred,1991,25364.385359717002,16352.804044928955,39342.00170861408,21835.4,0.6916253910790083,6411.458522677418,74364.46659891898
M22_2022,AI,biomass_pred,1992,25447.722900653192,16852.15406146748,38427.526740284105,NA,NA,NA,NA
M22_2022,AI,biomass_pred,1993,25531.334256453447,17422.639308854803,37413.90826953873,NA,NA,NA,NA
M22_2022,AI,biomass_pred,1994,25615.2203267673,18085.407464087766,36280.05140009868,26284.4,0.21989456544953503,17168.356235903313,40240.87535621022
M22_2022,AI,biomass_pred,1995,25579.528572851083,17740.197207794477,36883.0331672875,NA,NA,NA,NA
M22_2022,AI,biomass_pred,1996,25543.886551136366,17505.554461615542,37273.32039485189,NA,NA,NA,NA
M22_2022,AI,biomass_pred,1997,25508.29419232717,17367.59587632129,37464.77504635108,36058.3,0.26943195706940865,21462.01249028786,60581.50415662907
M22_2022,AI,biomass_pred,1998,24418.305222511954,16963.597352456098,35149.0086419332,NA,NA,NA,NA
M22_2022,AI,biomass_pred,1999,23374.89231714703,16641.984760234154,32831.75647076675,NA,NA,NA,NA
M22_2022,AI,biomass_pred,2000,22376.065245285343,16415.492704258806,30500.960579231898,37151.8,0.4460825182831927,16119.990914043743,85623.88469074888
M22_2022,AI,biomass_pred,2001,20913.769629783583,15869.080345220387,27562.136595987078,NA,NA,NA,NA
M22_2022,AI,biomass_pred,2002,19547.036323547385,15038.11650635471,25407.87796614165,15342,0.20097452777948335,10387.302154353009,22660.067118713796
M22_2022,AI,biomass_pred,2003,19251.742749200384,14641.140981748189,25314.25654212473,NA,NA,NA,NA
M22_2022,AI,biomass_pred,2004,18960.910121955883,14437.770310504133,24901.082710210783,32611.6,0.374329788799898,16037.218312515286,66315.51892824472
M22_2022,AI,biomass_pred,2005,18025.032460595507,13380.264798059947,24282.16482327244,NA,NA,NA,NA
M22_2022,AI,biomass_pred,2006,17135.348098575716,12353.199283573673,23768.753965605953,11780.6,0.25220812451220825,7240.833137058222,19166.65302639247
M22_2022,AI,biomass_pred,2007,17159.156848560102,12386.015310682735,23771.701904771606,NA,NA,NA,NA
M22_2022,AI,biomass_pred,2008,17182.998679668523,12512.64650227994,23596.562371652664,NA,NA,NA,NA
M22_2022,AI,biomass_pred,2009,17206.873637865625,12744.371508687687,23231.942052822542,NA,NA,NA,NA
M22_2022,AI,biomass_pred,2010,17230.781769179917,13106.844928829329,22652.273830146045,18223.7,0.23364713348714927,11598.253690430922,28633.90046072195
M22_2022,AI,biomass_pred,2011,17099.751153737223,12866.151420171791,22726.414447548395,NA,NA,NA,NA
M22_2022,AI,biomass_pred,2012,16969.716954035488,12792.485474333786,22510.97287371175,15667.7,0.2636671765948296,9426.09190554649,26042.269240506397
