model_name,year,biomass,M,OFL,maxABC,biomass_percent_change,OFL_maxABC_percent_change
Model 18,2018,24055.3672,0.03,721.661016,541.245762,0,0
Model 18.a,2018,24054.904057697,0.03,721.6471217309099,541.2353412981824,-0.0019253179514985548,-0.0019253179515086372
Model 18.b,2018,24054.91652653508,0.03,721.6474957960523,541.2356218470393,-0.0018734840386146635,-0.0018734840386165539
Model 22,2018,23967.93811200172,0.03,719.0381433600515,539.2786075200387,-0.36344940100635836,-0.36344940100636786
