model_name,parameter,estimate,std_err,lci,uci
Model 18.a,AI process error,0.14820173771868164,0.10412072405783628,0.03739663288717829,0.5873190543410484
Model 18.a,SBS process error,1.1346819562897412,0.29748354944605865,0.6787528306858043,1.8968659631645812
Model 18.a,EBS Slope process error,0.19518507597542953,0.13736239200628766,0.04913711113055245,0.7753246580230099
Model 18.b,process_error,0.14820229383774133,0.10412052854678513,0.03739706314291365,0.5873167049196525
Model 18.b,process_error,0.19518484247522636,0.1373622759665988,0.04913702852222186,0.7753241064393989
Model 18.b,process_error,1.13457917852848,0.29749495770466733,0.678646384694659,1.8968198186593708
Model 22,process_error,0.14820193225375275,0.10412054483256002,0.0373968382092,0.5873173716151916
Model 22,process_error,0.3314475910289097,0.24021085676485157,0.0800795095593224,1.3718553747820552
Model 22,process_error,1.1345785946598899,0.2974948027279379,0.6786460376612642,1.8968188363650786
Model 22,scaling_parameter_q,3.6235490426092394,0.732340035279211,2.438380248633997,5.384766248639826
