model_name,parameter,estimate,std_err,lci,uci
Model 18.b,process_error,0.2757578545486158,0.08847266206502084,0.14703914931571332,0.517157469280389
Model 18.b,process_error,0.3602841606127976,0.1570534911839462,0.15331799310825467,0.8466369390630867
Model 18.b,process_error,0.19518420760518812,0.13736190426325617,0.049136831645992834,0.7753221691812525
Model 18.b,process_error,1.134581339690117,0.2974955313446375,0.6786476692209561,1.896823454578028
Model 18.b,process_error,0.5188257919602002,0.17061794378973988,0.27233315299487565,0.9884224503808172
Model 22.1,process_error,0.2757580527700379,0.08847271596400871,0.14703926514555718,0.5171578053810795
Model 22.1,process_error,0.3602840525571797,0.1570535004363807,0.15331790012168497,0.8466369447011841
Model 22.1,process_error,0.07364416085279182,0.15665278988434078,0.0011389321921973763,4.761883512352234
Model 22.1,process_error,1.1345791682775068,0.2974949549837242,0.6786463786018202,1.8968198014131812
Model 22.1,process_error,0.518826841169602,0.1706182090759552,0.27233378577450923,0.9884241514598852
Model 22.1,scaling_parameter_q,3.790555124320125,0.700205442353315,2.639159885782747,5.444273470475271
Model 22.2.a,process_error,0.2816574355417735,0.07191367487389397,0.17076140819668217,0.4645716607384459
Model 22.2.a,scaling_parameter_q,3.4035841542022616,1.0833145168663525,1.8239403281311812,6.351296101120888
Model 22.2.a,extra_biomass_cv,0.704186583468586,0.19167647064383966,0.3668276931497622,1.0612401674153917
Model 22.2.b,process_error,0.4609988271202925,0.0763770332500203,0.3331770367485087,0.6378588412943396
Model 22.2.b,scaling_parameter_q,3.8556572456181266,1.0108735049604207,2.3063807136247214,6.44563697045659
Model 22.2.b,extra_cpue_cv,0.44042263210405763,0.29315724465710563,0.09229150688015199,1.0873757553843193
Model 22.2.c,process_error,0.2592313842801765,0.06953957003762776,0.1532322922492487,0.4385558005391388
Model 22.2.c,scaling_parameter_q,3.6063746996180877,1.2238895510043915,1.854385215427951,7.013612040173632
Model 22.2.c,extra_biomass_cv,0.7070835291048011,0.19219378624419167,0.3683541781586488,1.0643391387466148
Model 22.2.c,extra_cpue_cv,0.3907522363464592,0.2442499055602229,0.09445444891482815,0.9730520299643005
