model_name,objective_function,n_parameters,aic,delta_aic
Model 22.1,102.27455899551123,6,216.5,0
Model 22.2.a,105.79362342970236,3,217.6,1.1
Model 22.2.c,105.15752669632886,4,218.3,1.8
Model 22.2.b,109.15219053123352,3,224.3,7.8
